		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	N	mean	sd	p50	min	max
							
pcm	Price-cost margin	17,733	0.309	0.321	0.201	0.0110	1.914
wa_hhi4d	Industry HHI	17,733	0.0646	0.0646	0.0497	0.00723	0.971
wa_cr44d	Industry CR4	17,656	0.363	0.148	0.357	0.111	0.998
ln	Log #Workers	17,733	13.86	1.576	13.56	5.545	20.32
lk	lk	17,733	14.70	2.261	14.52	4.605	26.08
lo	lo	17,733	16.12	2.033	15.74	8.887	24.29
tfp	Total factor productivity	17,733	5.209	1.672	4.463	2.261	11.93
mu	Markups	17,733	2.571	2.613	1.607	0.276	16.25
ltc	ltc	17,733	15.87	2.028	15.47	8.082	24.15
							
