		(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	LABELS	N	mean	sd	p50	min	max
							
pcm	Price-cost margin	15,163	0.262	0.219	0.193	0.0239	0.953
wa_hhi4d	Industry HHI	15,163	0.0657	0.0660	0.0497	0.00723	0.971
wa_cr44d	Industry CR4	15,098	0.367	0.147	0.363	0.111	0.998
ln	Log #Workers	15,163	13.79	1.548	13.52	7.496	20.32
lk	lk	15,163	14.58	2.192	14.43	4.605	26.08
lo	lo	15,163	15.93	1.930	15.59	9.890	24.29
tfp	Total factor productivity	15,163	5.089	1.584	4.400	2.259	11.94
mu	Markups	15,163	2.032	1.441	1.524	0.276	7.777
ltc	ltc	15,163	15.71	1.935	15.34	9.447	24.15
							
