		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	LABELS	OLS	Fixed Effects	OLS	Fixed Effects	OLS	Fixed Effects	OLS	Fixed Effects	OLS	Fixed Effects	OLS	Fixed Effects	OLS	Fixed Effects	OLS	Fixed Effects
																	
lbi	Log policy rate	0.0135	0.0131	-0.0204	-0.0192	0.00716	0.00747	0.00716	0.00747	0.00716	0.00747	0.00716	0.00747	0.00716	0.00747	0.00716	0.00747
		(0.105)	(0.105)	(0.112)	(0.111)	(0.105)	(0.106)	(0.105)	(0.106)	(0.105)	(0.106)	(0.105)	(0.106)	(0.105)	(0.106)	(0.105)	(0.106)
lcr3	log CR4	0.0637**	0.0625*			0.0606**	0.0598*	0.0606**	0.0598*	0.0606**	0.0598*	0.0606**	0.0598*	0.0606**	0.0598*	0.0606**	0.0598*
		(0.0254)	(0.0283)			(0.0281)	(0.0309)	(0.0281)	(0.0309)	(0.0281)	(0.0309)	(0.0281)	(0.0309)	(0.0281)	(0.0309)	(0.0281)	(0.0309)
covid	COVID-19 Dummy	0.0699***	0.0698**	0.0633**	0.0634**	0.0692***	0.0692**	0.0692***	0.0692**	0.0692***	0.0692**	0.0692***	0.0692**	0.0692***	0.0692**	0.0692***	0.0692**
		(0.0208)	(0.0211)	(0.0247)	(0.0245)	(0.0220)	(0.0222)	(0.0220)	(0.0222)	(0.0220)	(0.0222)	(0.0220)	(0.0222)	(0.0220)	(0.0222)	(0.0220)	(0.0222)
lmui3	lmui3			-0.0222**	-0.0201*	-0.00921	-0.00822	-0.00921	-0.00822	-0.00921	-0.00822	-0.00921	-0.00822	-0.00921	-0.00822	-0.00921	-0.00822
				(0.00940)	(0.00923)	(0.0112)	(0.0111)	(0.0112)	(0.0111)	(0.0112)	(0.0111)	(0.0112)	(0.0111)	(0.0112)	(0.0111)	(0.0112)	(0.0111)
Constant	Constant	5.173***	5.172***	5.176***	5.171***	5.193***	5.190***	5.193***	5.190***	5.193***	5.190***	5.193***	5.190***	5.193***	5.190***	5.193***	5.190***
		(0.166)	(0.175)	(0.156)	(0.174)	(0.159)	(0.171)	(0.159)	(0.171)	(0.159)	(0.171)	(0.159)	(0.171)	(0.159)	(0.171)	(0.159)	(0.171)
																	
Observations		40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40
R-squared			0.484		0.426		0.485		0.485		0.485		0.485		0.485		0.485
Number of Disic3		8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
Industry FE			YES		YES		YES		YES		YES						
Robust standard errors in parentheses																	
*** p<0.01, ** p<0.05, * p<0.1																	
