year,mu
2000,1.1299095
2000,1.2580768
2000,.55203676
2000,.67285621
2000,.66820097
2000,1.0742537
2000,2.0132174
2000,.47224107
2000,.47990978
2000,.69017893
2000,.83401102
2000,1.1325136
2000,.49527317
2000,.4305253
2000,1.1814548
2000,.59291136
2000,.59785342
2000,1.0587322
2000,.54580206
2000,3.5220566
2000,.66234118
2000,.49785975
2000,.59997362
2000,.67016721
2000,2.685638
2000,.99406338
2000,.69487011
2000,.62544358
2000,3.6187284
2000,.7699157
2000,.44134563
2000,3.6120706
2000,8.1698217
2000,.42666805
2000,.42099157
2000,.63324773
2000,1.7965965
2000,.44233924
2000,.54134291
2000,1.6809467
2000,.91972488
2000,2.0641401
2000,1.1562203
2000,.854783
2000,2.3961258
2000,.54811442
2000,.43859819
2000,1.0372311
2000,.57309151
2000,.73899931
2000,1.366639
2000,.55061769
2000,.72866565
2000,1.3085097
2000,.4255079
2000,1.3716871
2000,.56569195
2000,4.8486557
2000,6.0998149
2000,.62333089
2000,2.9591279
2000,.5324797
2000,1.597059
2000,4.453558
2000,.42925888
2000,.42779827
2000,.60562462
2000,1.5163569
2000,.54108691
2000,1.0557206
2000,.98094022
2000,1.7345868
2000,.52682096
2000,.61614823
2000,1.6926593
2000,.57380736
2000,.96849167
2000,.5273332
2000,1.3099194
2000,1.802789
2000,.58138412
2000,.91817021
2000,1.4997089
2000,1.2699528
2000,.59563285
2000,.93755275
2000,2.2603502
2000,1.3468236
2000,1.9423858
2000,1.2598861
2000,4.5888901
2000,.63648754
2000,.60874802
2000,.94777781
2000,1.2621722
2000,.82753175
2000,.44595438
2000,.75625151
2000,.4806715
2000,.98667371
2000,.82607704
2000,9.1206684
2000,.89955115
2000,2.267477
2000,.49314234
2000,.98790145
2000,.67379755
2000,1.3007337
2000,1.327664
2000,.52579105
2000,2.8177097
2000,4.8840141
2000,.62710035
2000,2.8059402
2000,.74040592
2000,.50984502
2000,2.8430719
2000,2.3014216
2000,.68903524
2000,.78856623
2000,1.4560068
2000,.45154694
2000,1.4887692
2000,2.1754062
2000,3.1491253
2000,1.9953381
2000,1.7285545
2000,.64026397
2000,.92328143
2000,4.4456563
2000,.84253377
2000,1.3576174
2000,.9778952
2000,2.743305
2000,.94843155
2000,1.8733011
2000,1.0831438
2000,.92927772
2000,.70278412
2000,1.0485322
2000,.69931555
2000,3.3763988
2000,1.263714
2000,.89260101
2000,3.4325078
2000,1.11449
2000,.48080489
2000,.45862716
2000,.84217393
2000,1.1795781
2000,.6331107
2000,2.6799862
2000,.47186968
2000,2.1835144
2000,1.590986
2000,1.7487984
2000,1.4902663
2000,1.2505025
2000,1.173903
2000,4.60285
2000,1.3506451
2000,2.9171765
2000,.44641012
2000,1.438846
2000,1.6035912
2000,.95741564
2000,.57914728
2000,.49197692
2000,.5467127
2000,2.0419257
2000,.75618654
2000,.46585169
2000,2.3784268
2000,.45218214
2000,.4208551
2000,.47352996
2000,.80295068
2000,1.1155769
2000,.76387399
2000,1.2807678
2000,.66775948
2000,1.0294901
2000,.81780028
2000,1.4919128
2000,.52145255
2000,.92148781
2000,5.1059322
2000,.73460621
2000,1.4830582
2000,2.8544087
2000,1.1224152
2000,.64350039
2000,2.3411686
2000,.78079265
2000,.78135949
2000,.85858285
2000,.42850178
2000,1.1605376
2000,1.1761172
2000,2.2117491
2000,.88116181
2000,.53116715
2000,.9932484
2000,.57152343
2000,1.1957679
2000,.63443917
2000,2.3265743
2000,1.0217299
2000,1.2692857
2000,.49665236
2000,3.1112349
2000,1.3002214
2000,.56227499
2000,.51634467
2000,.98814368
2000,.68199432
2000,2.0730057
2000,1.0768087
2000,.4865565
2000,.59057671
2000,.67546135
2000,2.2661541
2000,1.9967619
2000,.83430547
2000,.69532478
2000,.90165883
2000,.69762564
2000,.90979117
2000,2.237097
2000,.55284816
2000,.56216884
2000,3.9637215
2000,3.5401943
2000,.51941961
2000,.71349812
2000,.90922821
2000,2.4153585
2000,.58542168
2000,2.10886
2000,.84091234
2000,1.8756983
2000,6.1137052
2000,8.1052628
2000,.71831548
2000,3.5721512
2000,.85080934
2000,1.5745484
2000,2.4076865
2000,.74216688
2000,2.3144407
2000,3.7049222
2000,5.5578923
2000,.48827359
2000,1.120661
2000,.52520722
2000,.87984848
2000,.45207304
2000,1.0065458
2000,1.1787459
2000,.48860055
2000,.49917665
2000,.73100293
2000,6.2611413
2000,2.4591341
2000,.77779466
2000,.49519616
2000,.7240895
2000,1.1859839
2000,.69323981
2000,.55293196
2000,.54299283
2000,1.0362127
2000,1.0538143
2000,.56919271
2000,.62437445
2000,.52807957
2000,1.7345074
2000,.57835525
2000,7.3874531
2000,.5717988
2000,.57158393
2000,.68524235
2000,1.8961424
2000,.62715358
2000,.57458007
2000,.65953058
2000,.49916857
2000,.54462075
2000,.76538634
2000,.80115163
2000,.99978971
2000,.95179862
2000,.60861224
2000,1.3243356
2000,1.4894336
2000,2.5503876
2000,1.094416
2000,3.9218156
2000,4.8249092
2000,.87557447
2000,.65917909
2000,1.1483817
2000,.829005
2000,3.4230375
2000,5.867578
2000,1.4228576
2000,1.0985297
2000,.44358501
2000,1.7967541
2000,.56622308
2000,.5972386
2000,1.1748897
2000,.76936817
2000,1.0671071
2000,.84129894
2000,1.8273879
2000,.73900139
2000,4.3888292
2000,3.6885149
2000,.54960567
2000,1.135191
2000,.72814184
2000,1.3685693
2000,.86327922
2000,1.0217046
2000,.88581777
2000,4.2007899
2000,1.1351283
2000,1.6001798
2000,.77197289
2000,.67402059
2000,.54359072
2000,.58804035
2000,.85526657
2000,1.1292427
2000,.55763817
2000,.55972242
2000,3.3630109
2000,2.5621772
2000,.68331593
2000,.53588885
2000,1.6140504
2000,.78122836
2000,.4598403
2000,3.4455085
2000,.95916301
2000,.58603334
2000,.47319862
2000,.62444168
2000,.55952764
2000,.48048407
2000,3.5417476
2000,2.6660497
2000,.58842295
2000,1.294762
2000,3.085984
2000,6.5393176
2000,9.5685844
2000,1.4277306
2000,.592731
2000,.65710402
2000,1.1273391
2000,1.8168244
2000,.60399401
2000,.44756535
2000,.6422258
2000,2.7559257
2000,1.4377788
2000,3.9431508
2000,.45376319
2000,3.3536718
2000,.58615798
2000,.60842127
2000,1.790912
2000,.50964475
2000,1.3119735
2000,.50408685
2000,1.6240295
2000,7.791306
2000,1.6808745
2000,2.0349371
2000,.50613511
2000,.55115145
2000,1.116357
2000,1.197039
2000,.65782261
2000,1.5685729
2000,2.1985903
2000,.50101095
2000,.6550743
2000,.74146724
2000,.95657051
2000,1.5893406
2000,.44089678
2000,.90138716
2000,1.0660909
2000,.77794224
2000,3.0952685
2000,.73363793
2000,1.7909632
2000,10.131964
2000,1.9793702
2000,.80007589
2000,6.0923562
2000,.44941863
2000,1.7166638
2000,1.1918957
2000,.59189105
2000,.59970534
2000,.71537387
2000,1.022737
2000,.55853713
2000,.78436756
2000,.68687809
2000,.8819378
2000,2.4689567
2000,.93773073
2000,.46282411
2000,.91204464
2000,3.5617626
2000,.60185963
2000,2.6054859
2000,.68916011
2000,.43652299
2000,.50399214
2000,.42593136
2000,4.9369597
2000,1.2690594
2000,.54173386
2000,.83214003
2000,.99130565
2000,.99325597
2000,.47784781
2000,.98435605
2000,.42687479
2000,2.5622017
2000,2.6534762
2000,1.9921323
2000,3.8900971
2000,1.8504174
2000,1.7732406
2000,2.0100136
2000,.62760895
2000,2.1193402
2000,.67383099
2000,1.6872377
2000,1.7132816
2000,.89569211
2000,.63826001
2000,.62018883
2000,.59508437
2000,3.0727308
2000,2.3143191
2000,.80564833
2000,3.4953578
2000,.73405927
2000,1.1324586
2000,.91326404
2000,1.5432724
2000,.72578543
2000,.93226999
2000,1.515082
2000,.47208437
2000,1.1906984
2000,.65750462
2000,.87725866
2000,.82244301
2000,1.5431811
2000,1.4333761
2000,.63525897
2000,1.0769298
2000,2.1809359
2000,1.9707437
2000,.8030073
2000,.87495595
2000,2.729768
2000,.59500945
2000,.50203496
2000,.89342797
2000,.47442862
2000,.44943663
2000,.4723672
2000,1.4751617
2000,.72074878
2000,.52962989
2000,.81336373
2000,8.4128971
2000,.9853037
2000,4.5581751
2000,1.0017204
2000,.83195436
2000,3.6382658
2000,1.01499
2000,.57395244
2000,.53158164
2000,.80837744
2000,.77258861
2000,1.2805749
2000,.45113632
2000,.46669659
2000,1.6815126
2000,1.8296425
2000,1.6942291
2000,.70158279
2000,1.1999032
2000,.96471131
2000,1.0049593
2000,.9904353
2000,2.0939639
2000,.6256482
2000,2.0146849
2000,3.4539602
2000,.49174005
2000,.52130193
2000,.76549286
2000,.63545412
2000,2.7759306
2000,.59980947
2000,2.4041369
2000,.96989292
2000,.56017476
2000,6.2241111
2000,.56550324
2000,.50538123
2000,3.6940908
2000,.4650026
2000,1.1319058
2000,.55829209
2000,2.1933715
2000,.51083499
2000,1.0461161
2000,.58294475
2000,1.1460798
2000,7.0750861
2000,.59286159
2000,.59409207
2000,.57047087
2000,.91242832
2000,1.4708477
2000,.61400074
2000,.53282207
2000,.42686459
2000,1.2484137
2000,2.7829468
2000,.56987435
2000,2.5328777
2000,5.6224313
2000,3.3277001
2000,3.9907846
2000,2.8613997
2000,.6729666
2000,.76429075
2000,3.2529895
2000,.53742939
2000,1.7542957
2000,1.0988985
2000,1.9571944
2000,3.0402184
2000,.67166501
2000,2.0604446
2000,.54527718
2000,1.2580996
2000,1.2105812
2000,.49625278
2000,.45888877
2000,5.9033432
2000,4.8822026
2000,2.1582158
2000,.52028328
2000,1.1514117
2000,1.2833796
2000,.98052865
2000,.45416799
2000,1.4898614
2000,.77662504
2000,4.4890528
2000,1.2026688
2000,1.0632459
2000,1.2510118
2000,.49529913
2000,2.2792106
2000,.58969373
2000,.52639657
2000,.47778037
2000,2.412472
2000,1.0536736
2000,.75202107
2000,2.8949773
2000,.67546844
2000,.86070698
2000,.44350591
2000,.53309554
2000,.71442342
2000,1.2672391
2000,.46625483
2000,1.2256925
2000,.5365777
2000,.65009117
2000,3.4668701
2000,1.6627882
2000,1.3198433
2000,1.2061146
2000,1.0197208
2000,.85606623
2000,.9842068
2000,.84640592
2000,2.9331024
2000,2.1652374
2000,.75818968
2000,.5788359
2000,.86364567
2000,2.5366414
2000,1.1141415
2000,.63751489
2000,.45303461
2000,.56228733
2000,1.2209325
2000,.62757182
2000,.71896315
2000,.91355759
